mot turc;traduction française
Büyük;Grand(e)
Küçük;Petit(e)
Uzun;Long / Grand (taille)
Kısa;Court / Petit (taille)
Yeni;Nouveau / Nouvelle / Neuf
Eski;Vieux / Vieille / Ancien
İyi;Bon / Bien
Kötü;Mauvais(e) / Mal
Güzel;Beau / Belle / Joli(e)
Çirkin;Laid(e)
Sıcak;Chaud(e) / Il fait chaud
Soğuk;Froid(e) / Il fait froid
Hızlı;Rapide / Vite
Yavaş;Lent(e) / Doucement
Kolay;Facile
Zor;Difficile
Ucuz;Bon marché / Pas cher
Pahalı;Cher / Coûteux
Doğru;Correct / Vrai / Juste / Tout droit
Yanlış;Faux / Incorrect
Açık;Ouvert / Clair / Allumé
Kapalı;Fermé / Éteint
Temiz;Propre
Kirli;Sale
Dolu;Plein(e)
Boş;Vide / Libre
Yakın;Proche / Près
Uzak;Loin / Éloigné
Erken;Tôt
Geç;Tard
Çok;Beaucoup / Très / Trop
Az;Peu / Un peu
Hep / Her zaman;Toujours
Hiç;Jamais / Aucun(e)
Bazen;Parfois / Quelquefois
Genellikle;En général / Généralement
Şimdi;Maintenant
Hemen;Tout de suite / Immédiatement
Önce;Avant / D'abord
Sonra;Après / Ensuite
Burada;Ici
Orada;Là-bas
Yukarı;En haut / Vers le haut
Aşağı;En bas / Vers le bas
Sağ;Droite
Sol;Gauche
İleri;En avant / Droit devant
Geri;En arrière
Birlikte;Ensemble
Yalnız;Seul(e)
Çeşitli;Divers / Varié
Farklı;Différent(e)
Aynı;Même / Identique
Başka;Autre / Différent
