mot turc;traduction française
Bir;Un / Une / 1
İki;Deux / 2
Üç;Trois / 3
Dört;Quatre / 4
Beş;Cinq / 5
Altı;Six / 6
Yedi;Sept / 7
Sekiz;Huit / 8
Dokuz;Neuf / 9
On;Dix / 10
On bir;Onze / 11
On iki;Douze / 12
On üç;Treize / 13
On dört;Quatorze / 14
On beş;Quinze / 15
On altı;Seize / 16
On yedi;Dix-sept / 17
On sekiz;Dix-huit / 18
On dokuz;Dix-neuf / 19
Yirmi;Vingt / 20
Otuz;Trente / 30
Kırk;Quarante / 40
Elli;Cinquante / 50
Altmış;Soixante / 60
Yetmiş;Soixante-dix / 70
Seksen;Quatre-vingts / 80
Doksan;Quatre-vingt-dix / 90
Yüz;Cent / 100
Bin;Mille / 1000
Birinci;Premier / Première
İkinci;Deuxième
Üçüncü;Troisième
Pazartesi;Lundi
Salı;Mardi
Çarşamba;Mercredi
Perşembe;Jeudi
Cuma;Vendredi
Cumartesi;Samedi
Pazar;Dimanche
Ocak;Janvier
Şubat;Février
Mart;Mars
Nisan;Avril
Mayıs;Mai
Haziran;Juin
Temmuz;Juillet
Ağustos;Août
Eylül;Septembre
Ekim;Octobre
Kasım;Novembre
Aralık;Décembre
Bugün;Aujourd'hui
Yarın;Demain
Dün;Hier
Şimdi;Maintenant
Sabah;Matin
Öğlen;Midi
Akşam;Soir
Gece;Nuit
Hafta;Semaine
Ay;Mois
Yıl;Année
Saat;Heure / Horloge / Montre
Dakika;Minute
