mot turc;traduction française
Vücut;Corps
Baş;Tête
Yüz;Visage
Göz;Œil / Yeux
Kulak;Oreille
Burun;Nez
Ağız;Bouche
Diş;Dent
Dil;Langue (organe) / Langue (langage)
Saç;Cheveux / Chevelure
Boyun;Cou
Omuz;Épaule
Kol;Bras
El;Main
Parmak;Doigt
Göğüs;Poitrine
Karın;Ventre / Abdomen
Sırt;Dos
Bacak;Jambe
Diz;Genou
Ayak;Pied
Kalp;Cœur
Kan;Sang
Hasta;Malade
Sağlıklı;En bonne santé / Sain(e)
Ağrı;Douleur / Mal
Baş ağrısı;Mal de tête
Ateş;Fièvre
Öksürük;Toux
Soğuk algınlığı;Rhume
İlaç;Médicament
Doktor;Médecin
Kıyafet;Vêtement(s)
Gömlek;Chemise
T-shirt;T-shirt
Pantolon;Pantalon
Etek;Jupe
Elbise;Robe
Mont / Kaban;Manteau / Veste d'hiver
Ceket;Veste / Blazer
Kazak;Pull-over / Sweat
Şort;Short
Ayakkabı;Chaussure(s)
Bot;Botte(s)
Terlik;Chausson(s) / Sandale(s)
Çorap;Chaussette(s)
Şapka;Chapeau / Casquette
Çanta;Sac
Gözlük;Lunettes
