mot turc;traduction française
Renk;Couleur
Kırmızı;Rouge
Mavi;Bleu(e)
Yeşil;Vert(e)
Sarı;Jaune
Turuncu;Orange (couleur)
Mor;Violet(te) / Mauve
Pembe;Rose
Siyah;Noir(e)
Beyaz;Blanc(he)
Gri;Gris(e)
Kahverengi;Marron / Brun(e)
Hava;Temps (météo) / Air
Güneş;Soleil
Yağmur;Pluie
Kar;Neige
Rüzgar;Vent
Bulut;Nuage
Sıcak;Il fait chaud / Chaud
Soğuk;Il fait froid / Froid
Serin;Frais / Il fait frais
Fırtına;Tempête / Orage
Deniz;Mer
Göl;Lac
Nehir;Rivière / Fleuve
Dağ;Montagne
Orman;Forêt
Ağaç;Arbre
Çiçek;Fleur
Ot / Çimen;Herbe / Pelouse
Güneş;Soleil
Ay;Lune
Yıldız;Étoile
Gökyüzü;Ciel
Kedi;Chat
Köpek;Chien
Kuş;Oiseau
Balık;Poisson
At;Cheval
İnek;Vache
Koyun;Mouton
Tavuk;Poulet / Poule
Fare;Souris / Rat
Aslan;Lion
