mot turc;traduction française
Aile;Famille
Anne;Mère / Maman
Baba;Père / Papa
Kardeş;Frère ou sœur
Abla;Grande sœur
Abi / Ağabey;Grand frère
Kız kardeş;Sœur (plus jeune)
Erkek kardeş;Frère (plus jeune)
Büyükanne;Grand-mère
Büyükbaba;Grand-père
Amca;Oncle (côté paternel)
Dayı;Oncle (côté maternel)
Hala;Tante (côté paternel)
Teyze;Tante (côté maternel)
Kuzen;Cousin / Cousine
Eş;Époux / Épouse
Koca;Mari
Karı;Femme (épouse)
Çocuk;Enfant
Kız;Fille / Fille (en général)
Oğlan / Erkek;Garçon
Bebek;Bébé
İnsan;Être humain / Personne
Adam;Homme
Kadın;Femme
Genç;Jeune (personne)
Yaşlı;Vieux / Vieille (personne)
Arkadaş;Ami(e)
Komşu;Voisin(e)
Öğrenci;Élève / Étudiant(e)
Öğretmen;Professeur / Enseignant(e)
Doktor;Médecin / Docteur
