mot turc;traduction française
Şehir;Ville
Köy;Village
Ülke;Pays
Sokak;Rue
Cadde;Avenue / Boulevard
Meydan;Place (publique)
Park;Parc
Okul;École
Üniversite;Université
Hastane;Hôpital
Eczane;Pharmacie
Banka;Banque
Posta;Poste / Bureau de poste
Otel;Hôtel
Ev;Maison / Domicile
Daire;Appartement
Oda;Chambre / Pièce
Mutfak;Cuisine
Banyo;Salle de bain
Tuvalet;Toilettes / WC
Salon;Salon / Salle de séjour
Balkon;Balcon
Market / Süpermarket;Supermarché
Bakkal;Épicerie
Dükkan / Mağaza;Magasin / Boutique
Alışveriş merkezi;Centre commercial
Restoran;Restaurant
Kafe / Kafeterya;Café / Cafétéria
Bar;Bar
Sinema;Cinéma
Tiyatro;Théâtre
Müze;Musée
Kütüphane;Bibliothèque
Kilise;Église
Cami;Mosquée
İstasyon;Gare
Otogar;Gare routière
Havalimanı / Havaalanı;Aéroport
Liman;Port
Durak;Arrêt (bus / tramway)
Otobüs;Bus
Metro;Métro
Tramvay;Tramway
Tren;Train
Taksi;Taxi
Araba / Otomobil;Voiture
Bisiklet;Vélo
Motosiklet;Moto
Uçak;Avion
Gemi;Bateau / Ferry
Bilet;Billet / Ticket
Pasaport;Passeport
Vize;Visa
Harita;Carte (géographique)
Adres;Adresse
