mot turc;traduction française
Yemek;Nourriture / Repas / Plat
Su;Eau
Çay;Thé
Kahve;Café
Süt;Lait
Meyve suyu;Jus de fruit
Ekmek;Pain
Et;Viande
Tavuk;Poulet
Balık;Poisson
Sebze;Légumes
Meyve;Fruit
Elma;Pomme
Portakal;Orange
Muz;Banane
Üzüm;Raisin
Domates;Tomate
Salatalık;Concombre
Soğan;Oignon
Sarımsak;Ail
Patates;Pomme de terre
Pirinç;Riz
Makarna;Pâtes
Peynir;Fromage
Yumurta;Œuf
Tereyağı;Beurre
Zeytinyağı;Huile d'olive
Şeker;Sucre
Tuz;Sel
Biber;Poivre / Piment / Poivron
Çorba;Soupe
Salata;Salade
Pilav;Riz (cuit, plat)
Kebap;Kebab / Brochette grillée
Börek;Börek (pâtisserie salée)
Baklava;Baklava (dessert)
Dondurma;Glace (dessert)
Kek;Gâteau
Kahvaltı;Petit-déjeuner
Öğle yemeği;Déjeuner
Akşam yemeği;Dîner
Restoran;Restaurant
Menü;Menu
Hesap;Addition / Facture
Tabak;Assiette
Bardak;Verre
Kaşık;Cuillère
Çatal;Fourchette
Bıçak;Couteau
Peçete;Serviette (de table)
