mot turc;traduction française
Kitap;Livre
Defter;Cahier / Carnet
Kalem;Stylo / Crayon
Silgi;Gomme
Cetvel;Règle
Sırt çantası;Sac à dos
Masa;Table / Bureau
Sandalye;Chaise
Kapı;Porte
Pencere;Fenêtre
Duvar;Mur
Yer / Zemin;Sol / Terre
Tavan;Plafond
Merdiven;Escalier / Échelle
Anahtar;Clé / Clef
Telefon;Téléphone
Cep telefonu;Téléphone portable
Bilgisayar;Ordinateur
Tablet;Tablette
Televizyon;Télévision
Radyo;Radio
Fotoğraf;Photo
Kamera;Appareil photo / Caméra
İnternet;Internet
E-posta;Email / Courriel
Para;Argent (monnaie)
Bozuk para;Monnaie (pièces)
Fatura;Facture / Facture
Kredi kartı;Carte de crédit
Mağaza;Magasin
Fiyat;Prix
İndirim;Réduction / Promotion
İş;Travail / Emploi / Affaire
Meslek;Métier / Profession
Şirket;Entreprise / Société
Toplantı;Réunion
Mektup;Lettre (courrier)
Paket;Colis / Paquet
Hediye;Cadeau
Tatil;Vacances / Jour férié
Seyahat;Voyage
Müzik;Musique
Spor;Sport
Film;Film
Kitap;Livre
