mot turc;traduction française
Ben;Je / Moi
Sen;Tu / Toi
O;Il / Elle / Lui / Elle
Biz;Nous
Siz;Vous
Onlar;Ils / Elles
Bu;Ce / Cet / Cette / Ceci
Şu;Celui-là / Cela (plus éloigné)
O;Celui-là / Cela (loin)
Bunlar;Ceux-ci / Celles-ci
Şunlar;Ceux-là / Celles-là
Onlar;Ceux-là / Celles-là (loin)
Benim;Mon / Ma / Le mien
Senin;Ton / Ta / Le tien
Onun;Son / Sa / Le sien
Bizim;Notre / Le nôtre
Sizin;Votre / Le vôtre
Onların;Leur / Le leur
Ve;Et
Ama;Mais
Veya;Ou
Çünkü;Parce que
Eğer;Si
Fakat;Cependant / Mais
Gibi;Comme / Tel que
İle;Avec / Et
De / Da;Aussi / Et (suffixe)
Ne;Quoi / Que
Kim;Qui
Nerede;Où
Nereye;Où (direction)
Nereden;D'où
Ne zaman;Quand
Nasıl;Comment
Neden / Niçin;Pourquoi
Kaç;Combien
Hangisi;Lequel / Laquelle
Kaçta;À quelle heure
Var;Il y a / Exister
Yok;Il n'y a pas / Ne pas exister
