mot turc;traduction française
Olmak;Être / Devenir
Yapmak;Faire
Gitmek;Aller
Gelmek;Venir
Gelmek;Arriver
Görmek;Voir
Duymak;Entendre / Sentir
Bilmek;Savoir / Connaître
İstemek;Vouloir / Désirer
Sevmek;Aimer / Apprécier
Yemek;Manger
İçmek;Boire
Uyumak;Dormir
Kalkmak;Se lever / Partir
Oturmak;S'asseoir / Habiter
Konuşmak;Parler / Discuter
Söylemek;Dire / Chanter
Anlamak;Comprendre
Okumak;Lire / Étudier
Yazmak;Écrire
Almak;Prendre / Acheter / Recevoir
Vermek;Donner
Açmak;Ouvrir / Allumer
Kapatmak;Fermer / Éteindre
Bakmak;Regarder / Chercher
Beklemek;Attendre
Çalışmak;Travailler / Étudier
Öğrenmek;Apprendre
Öğretmek;Enseigner
Düşünmek;Penser / Réfléchir
Bulmak;Trouver
Başlamak;Commencer
Bitmek;Finir / Se terminer
Sormak;Demander / Poser une question
Cevap vermek;Répondre
Gülmek;Rire / Sourire
Ağlamak;Pleurer
Koşmak;Courir
Yürümek;Marcher
Oynamak;Jouer
Dinlemek;Écouter
Götürmek;Emmener / Apporter (en allant)
Getirmek;Apporter (en venant)
Kullanmak;Utiliser
Ödemek;Payer
Satın almak;Acheter
Satmak;Vendre
Kalmak;Rester / Loger
Dönmek;Rentrer / Tourner / Revenir
Çıkmak;Sortir / Monter (bus)
Girmek;Entrer
Binmek;Monter (véhicule)
İnmek;Descendre
Sevmek;Aimer (personne ou chose)
Beğenmek;Apprécier / Aimer (goût)
